§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Bildung der Zukunft - Chancen für Aufstieg und Selbstbestimmung§bildung§0.7807874083518982§[('bildung', 0.7807874083518982), ('wirtschaft', 0.03504669666290283), ('gesundheit', 0.032481979578733444)]
0§cusooeeneneneeeeeeeenneneenn§none§0.2025599479675293§[('none', 0.2025599479675293), ('bildung', 0.20194320380687714), ('soziale ursachen', 0.1293523609638214)]
0§Berufliche Bildung§bildung§0.7917605042457581§[('bildung', 0.7917605042457581), ('gesundheit', 0.06304457783699036), ('soziale ursachen', 0.03254133090376854)]
0§ooseeeene nenne eeeeeeeeeneeeeeeeeeeeeeeeenn§none§0.2636980712413788§[('none', 0.2636980712413788), ('bildung', 0.2298191487789154), ('soziale ursachen', 0.12497636675834656)]
0§Hochschule und Forschung§bildung§0.2691328525543213§[('bildung', 0.2691328525543213), ('wissenschaft', 0.2213192880153656), ('gesundheit', 0.15277820825576782)]
0§seeeen nennen nnneeeeeeeeeeeneeeeeeeeeeeeeeeenn§none§0.27135470509529114§[('none', 0.27135470509529114), ('bildung', 0.19117586314678192), ('politik und ideologie', 0.10735291242599487)]
0§II§bildung§0.22006073594093323§[('bildung', 0.22006073594093323), ('gesundheit', 0.14149582386016846), ('soziale ursachen', 0.12168842554092407)]
0§Nie war Modernisierung dringlicher: Modernisieren wir endlich unser Land§gesundheit§0.2872427701950073§[('gesundheit', 0.2872427701950073), ('none', 0.2833017110824585), ('bildung', 0.12525257468223572)]
0§ceeeeeeeeenenenenen nen§none§0.3817203640937805§[('none', 0.3817203640937805), ('klima', 0.1521224081516266), ('bildung', 0.1148117408156395)]
0§Unkomplizierter Staat ccooenennneneneneeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeene§none§0.5825548768043518§[('none', 0.5825548768043518), ('gesundheit', 0.1111266016960144), ('bildung', 0.07118766009807587)]
0§Innovation Nation§bildung§0.24053359031677246§[('bildung', 0.24053359031677246), ('soziale ursachen', 0.22937582433223724), ('gesundheit', 0.11388983577489853)]
0§men nennen nennen ee eeeeeeeeeeeeeeeeeeeen  AUG)  (>| EEE§bildung§0.1992848515510559§[('bildung', 0.1992848515510559), ('none', 0.1565621942281723), ('politik und ideologie', 0.12686976790428162)]
0§DITe Tixe EI )  Te§bildung§0.27201327681541443§[('bildung', 0.27201327681541443), ('politik und ideologie', 0.19812287390232086), ('infrastruktur', 0.12740039825439453)]
0§Moderne Arbeitswelt§bildung§0.27268797159194946§[('bildung', 0.27268797159194946), ('gesundheit', 0.2563323378562927), ('wirtschaft', 0.12762747704982758)]
0§oo ee esse esse eeeeeeeeeeeenn§bildung§0.22494733333587646§[('bildung', 0.22494733333587646), ('none', 0.2243177741765976), ('klima', 0.12052310258150101)]
0§Gesundheit§gesundheit§0.8003938794136047§[('gesundheit', 0.8003938794136047), ('bildung', 0.04317190498113632), ('none', 0.03788108378648758)]
0§cos eeeeeeeeeee nennen:§none§0.5646421313285828§[('none', 0.5646421313285828), ('bildung', 0.11771704256534576), ('gesundheit', 0.070403091609478)]
0§Ye§bildung§0.22758613526821136§[('bildung', 0.22758613526821136), ('soziale ursachen', 0.14445030689239502), ('gesundheit', 0.143983855843544)]
0§Modernes Recht für starke Familien§bildung§0.26984402537345886§[('bildung', 0.26984402537345886), ('gesundheit', 0.2588435113430023), ('soziale ursachen', 0.1598699688911438)]
0§r eeeeeeeeeeeeeeeenn§bildung§0.2564310133457184§[('bildung', 0.2564310133457184), ('none', 0.23250406980514526), ('klima', 0.09520053118467331)]
0§Schutz der Privatsphäre§gesundheit§0.37273284792900085§[('gesundheit', 0.37273284792900085), ('bildung', 0.2100568562746048), ('soziale ursachen', 0.10375840961933136)]
0§ueeeeeeeeeenen nennen§none§0.2432510405778885§[('none', 0.2432510405778885), ('bildung', 0.1785135567188263), ('klima', 0.14499658346176147)]
0§Handlungsfähiger Rechtsstaat§gesundheit§0.22323112189769745§[('gesundheit', 0.22323112189769745), ('bildung', 0.15328873693943024), ('soziale ursachen', 0.13207027316093445)]
0§oooooo nennen ern neeeeeeeeeeneeeeeeeeeeeeereeeen§none§0.27581295371055603§[('none', 0.27581295371055603), ('bildung', 0.18382786214351654), ('gesundheit', 0.1159089133143425)]
0§Presse- und Meinungsfreiheit schützen§bildung§0.3470558226108551§[('bildung', 0.3470558226108551), ('gesundheit', 0.22219280898571014), ('soziale ursachen', 0.10534771531820297)]
0§ccm meeee ernennen neeeeeeeeeeeeeeneenn§none§0.25372791290283203§[('none', 0.25372791290283203), ('bildung', 0.21410919725894928), ('klima', 0.14775463938713074)]
0§Demokratie und Parlamentarismus cc cosennnnneneneeeneeeeeeeeeeeeeeeeeeeeeeeeeeenn§politik und ideologie§0.3791798949241638§[('politik und ideologie', 0.3791798949241638), ('bildung', 0.2394498586654663), ('gesundheit', 0.16602320969104767)]
0§Tolerante und weltoffene Gesellschaft§bildung§0.35139918327331543§[('bildung', 0.35139918327331543), ('gesundheit', 0.31899523735046387), ('none', 0.07229850441217422)]
0§oe esse eeeeeeeeeeeenn§bildung§0.2456771582365036§[('bildung', 0.2456771582365036), ('none', 0.2440660148859024), ('soziale ursachen', 0.11598704755306244)]
0§Kommunen, Sport und Ehrenamt stärken§bildung§0.4787943959236145§[('bildung', 0.4787943959236145), ('gesundheit', 0.21921265125274658), ('soziale ursachen', 0.09658736735582352)]
0§como eeeeneenn§none§0.2578124701976776§[('none', 0.2578124701976776), ('bildung', 0.2132180780172348), ('gesundheit', 0.12294149398803711)]
0§N] ER§bildung§0.21069329977035522§[('bildung', 0.21069329977035522), ('soziale ursachen', 0.1701790690422058), ('none', 0.13715843856334686)]
0§Ill§none§0.2682195007801056§[('none', 0.2682195007801056), ('soziale ursachen', 0.17607232928276062), ('bildung', 0.16005854308605194)]
0§Nie waren die Chancen größer: Bewältigen wir die großen Herausforderungen unserer Zeit§bildung§0.3111822307109833§[('bildung', 0.3111822307109833), ('gesundheit', 0.23404493927955627), ('klima', 0.10195506364107132)]
0§eeeeeenenen§bildung§0.19549109041690826§[('bildung', 0.19549109041690826), ('none', 0.1921958178281784), ('gesundheit', 0.14253516495227814)]
0§Klima- und Umweltschutz durch Innovation „ m eeeeeen nennen eneeeeeeeeeeereeneenn§klima§0.6150237321853638§[('klima', 0.6150237321853638), ('bildung', 0.08222205936908722), ('gesundheit', 0.07710516452789307)]
0§Zukunftsfähige und starke Europäische Union§bildung§0.3947213292121887§[('bildung', 0.3947213292121887), ('gesundheit', 0.20999708771705627), ('soziale ursachen', 0.09674182534217834)]
0§onneeeeee esse eeeeeeeereeeeenn§bildung§0.22381602227687836§[('bildung', 0.22381602227687836), ('none', 0.17226558923721313), ('soziale ursachen', 0.13770748674869537)]
0§Klare Regeln§klima§0.28445857763290405§[('klima', 0.28445857763290405), ('bildung', 0.17486755549907684), ('gesundheit', 0.165727436542511)]
0§Coooooooo nennen eeeeeeeeeeeeeeeeeeeeeeeeeneenn§bildung§0.2725370228290558§[('bildung', 0.2725370228290558), ('none', 0.21490219235420227), ('gesundheit', 0.0993201807141304)]
0§Grundsätze liberaler Außenpolitik§politik und ideologie§0.7480148077011108§[('politik und ideologie', 0.7480148077011108), ('bildung', 0.08892057836055756), ('gesundheit', 0.055168718099594116)]
0§ones eeeeeeeeeeene nennen§none§0.5760344862937927§[('none', 0.5760344862937927), ('bildung', 0.12607988715171814), ('gesundheit', 0.06422596424818039)]
0§Freiheit und Menschenrechte weltweit§gesundheit§0.3680140972137451§[('gesundheit', 0.3680140972137451), ('bildung', 0.3210461735725403), ('none', 0.0684741660952568)]
0§cc ooneennnneneeeneeeeeneeeeeeeeeeeeeeeeeeeeenn§none§0.4022659957408905§[('none', 0.4022659957408905), ('bildung', 0.14851661026477814), ('klima', 0.09502560645341873)]
0§Für eine Entwicklungspolitik der Chancen§politik und ideologie§0.42625898122787476§[('politik und ideologie', 0.42625898122787476), ('bildung', 0.30665266513824463), ('gesundheit', 0.09411544352769852)]
0§Einwanderung und Flucht§gesundheit§0.26193469762802124§[('gesundheit', 0.26193469762802124), ('bildung', 0.23342902958393097), ('soziale ursachen', 0.14485949277877808)]
0§cuoooe een neeeeeeeeeeeeeeeeeeeeeeeeeeeeen§none§0.34756630659103394§[('none', 0.34756630659103394), ('bildung', 0.19660493731498718), ('gesundheit', 0.10813150554895401)]
0§Für ein ganzheitliches Energiesystem§gesundheit§0.34236350655555725§[('gesundheit', 0.34236350655555725), ('bildung', 0.23612822592258453), ('infrastruktur', 0.11258004605770111)]
0§cc comes eeeeeeeeeeeene§none§0.2928446829319§[('none', 0.2928446829319), ('bildung', 0.14053168892860413), ('klima', 0.11362411081790924)]
0§Land- und Forstwirtschaft, Angeln, Fischerei und Jagd§wirtschaft§0.766717791557312§[('wirtschaft', 0.766717791557312), ('bildung', 0.11359567940235138), ('soziale ursachen', 0.02744155004620552)]
0§cc oonennnnneeeeeeeeeeeeeeeeeeeeenn§none§0.2541607618331909§[('none', 0.2541607618331909), ('bildung', 0.19111879169940948), ('klima', 0.12349206954240799)]
0§Wohnen oo ee esse eeeeeeeeeeeeeenn§bildung§0.18860208988189697§[('bildung', 0.18860208988189697), ('klima', 0.17695532739162445), ('gesundheit', 0.1546688824892044)]
0§Liberales Bürgergeld oosmeeee een nnneeeeeeeeeeneeeeeeeeeeeeeeeeenn§none§0.20124278962612152§[('none', 0.20124278962612152), ('gesundheit', 0.19713984429836273), ('bildung', 0.17672917246818542)]
0§Enkelfitte Rente§none§0.24185121059417725§[('none', 0.24185121059417725), ('bildung', 0.22819434106349945), ('gesundheit', 0.1143050268292427)]
0§ooooonnn rennen eeeeeeeeeeeeeeeeeeeeeeene§none§0.2631344497203827§[('none', 0.2631344497203827), ('bildung', 0.21300625801086426), ('gesundheit', 0.104070283472538)]
0§Das hat die Pandemie gezeigt§gesundheit§0.4583660364151001§[('gesundheit', 0.4583660364151001), ('bildung', 0.35729655623435974), ('politik und ideologie', 0.04623616114258766)]
0§Gespürt haben wir es schon vorher§gesundheit§0.4323733150959015§[('gesundheit', 0.4323733150959015), ('politik und ideologie', 0.12885965406894684), ('bildung', 0.12583588063716888)]
0§Denn die Welt verändert sich rasant§gesundheit§0.28404802083969116§[('gesundheit', 0.28404802083969116), ('bildung', 0.21894900500774384), ('soziale ursachen', 0.14668415486812592)]
0§Daraus erwach- sen Chancen und Risiken§bildung§0.41381600499153137§[('bildung', 0.41381600499153137), ('gesundheit', 0.1647987812757492), ('soziale ursachen', 0.10346196591854095)]
0§Wenn wir nichts ändern, tragen wir die Risiken, und die Chancen ergreifen andere§gesundheit§0.3668096661567688§[('gesundheit', 0.3668096661567688), ('bildung', 0.17297430336475372), ('none', 0.15068332850933075)]
0§Trotzdem wurde in Deutschland zu lange das trügerische Bild vermit- telt, dass alles bleiben könne, wie es ist§bildung§0.5169575214385986§[('bildung', 0.5169575214385986), ('gesundheit', 0.1433299481868744), ('politik und ideologie', 0.10503312945365906)]
0§Viele haben dem Versprechen vertraut, dass Deutschland das Land bleiben könne, in dem wir gut und gerne leben, ohne dass wir etwas verändern müssen§bildung§0.28415772318840027§[('bildung', 0.28415772318840027), ('politik und ideologie', 0.22655326128005981), ('gesundheit', 0.16401056945323944)]
0§Heute wissen wir: Das war falsch§gesundheit§0.34569990634918213§[('gesundheit', 0.34569990634918213), ('soziale ursachen', 0.17618413269519806), ('politik und ideologie', 0.14092381298542023)]
0§Das Ergebnis war eine Politik, die unseren Staat satt und träge gemacht hat - statt schlank und stark§politik und ideologie§0.5610257387161255§[('politik und ideologie', 0.5610257387161255), ('bildung', 0.2016984075307846), ('gesundheit', 0.13137446343898773)]
0§Das hat die Pandemie gezeigt§gesundheit§0.4583660364151001§[('gesundheit', 0.4583660364151001), ('bildung', 0.35729655623435974), ('politik und ideologie', 0.04623616114258766)]
0§Während andere Staaten ihre Ver- waltung digitalisiert haben, haben wir an Formularen und Zettelwirtschaft festgehalten§wirtschaft§0.41708144545555115§[('wirtschaft', 0.41708144545555115), ('gesundheit', 0.31582632660865784), ('bildung', 0.1505725085735321)]
0§Während andere Staaten ihr Gesundheitssystem digitalisiert haben, haben sich unsere Gesundheitsämter gegenseitig Faxe geschickt§gesundheit§0.48801079392433167§[('gesundheit', 0.48801079392433167), ('bildung', 0.17560969293117523), ('wissenschaft', 0.07076743245124817)]
0§Hochquali- fizierte Beamtinnen und Beamte haben Listen abgetippt, statt mit Hilfe moderner digitaler Technologien effektiv Infektions- ketten nachzuverfolgen§bildung§0.3156740963459015§[('bildung', 0.3156740963459015), ('gesundheit', 0.1971365362405777), ('soziale ursachen', 0.11320428550243378)]
0§Während andere Staaten per SMS zu Impfungen einladen, haben wir Impftermine per Brief vergeben§bildung§0.667974054813385§[('bildung', 0.667974054813385), ('gesundheit', 0.15722493827342987), ('soziale ursachen', 0.036025479435920715)]
0§Statt schützende Masken schnell und pragma- tisch an schutzbedürftige Menschen zu schicken, drucken wir aufwendig Bezugsscheine, versenden sie per Post und nötigen gefährdete Menschen dazu, die Masken in belebten Innenstädten abzuholen§bildung§0.3379506766796112§[('bildung', 0.3379506766796112), ('gesundheit', 0.17959630489349365), ('klima', 0.10006923973560333)]
0§Wir haben uns in der Krise an die Basistechnologie Papier geklammert, als wären wir noch im§gesundheit§0.31344085931777954§[('gesundheit', 0.31344085931777954), ('bildung', 0.2115081548690796), ('klima', 0.21143241226673126)]
0§Jahrhundert§bildung§0.26113009452819824§[('bildung', 0.26113009452819824), ('politik und ideologie', 0.16310805082321167), ('soziale ursachen', 0.15271161496639252)]
0§Schluss damit§gesundheit§0.30760061740875244§[('gesundheit', 0.30760061740875244), ('bildung', 0.21668943762779236), ('none', 0.09081287682056427)]
0§Wir müssen unseren Staat umfassend modernisieren, damit wir endlich im  Jahrhun- dert ankommen§gesundheit§0.2068604677915573§[('gesundheit', 0.2068604677915573), ('bildung', 0.19814135134220123), ('wirtschaft', 0.170140340924263)]
0§Die Bilanz dieser Politik ist ein Leben auf Kosten der Zukunft§politik und ideologie§0.5111276507377625§[('politik und ideologie', 0.5111276507377625), ('bildung', 0.3427545130252838), ('gesundheit', 0.053041599690914154)]
0§Statt Wettbewerb, Unternehmertum und Innovation zu för- dern, setzte die Politik der Großen Koalition auf Altbekann- tes und Altmodisches§politik und ideologie§0.7136984467506409§[('politik und ideologie', 0.7136984467506409), ('bildung', 0.12827715277671814), ('gesundheit', 0.046766459941864014)]
0§Statt Wohlstand und Nachhaltigkeit, Wachstum und Klimapolitik, wirtschaftliche Stärke und öko- logische Verantwortung zu verbinden, setzte sie auf Verbote und Dirigismus§wirtschaft§0.5829406380653381§[('wirtschaft', 0.5829406380653381), ('bildung', 0.12022588402032852), ('soziale ursachen', 0.08457261323928833)]
0§Statt die Sozialsysteme fit für die Zukunft zu machen, hat sie die Probleme des demographischen Wan- dels verschärft§soziale ursachen§0.5101407766342163§[('soziale ursachen', 0.5101407766342163), ('gesundheit', 0.14653785526752472), ('bildung', 0.12349677085876465)]
0§Statt für weltbeste Bildung zu sorgen, hat  sie zugelassen, dass unser Bildungssystem vielen Menschen keine fairen Aufstiegschancen bietet§bildung§0.6263047456741333§[('bildung', 0.6263047456741333), ('soziale ursachen', 0.14463961124420166), ('politik und ideologie', 0.0683291032910347)]
0§Statt Eigeninitiative und die Übernahme persönlicher Verantwortung jeder und jedes Einzelnen zu stärken, verzettelte sie sich in Bürokratie§bildung§0.3397650718688965§[('bildung', 0.3397650718688965), ('gesundheit', 0.19544067978858948), ('soziale ursachen', 0.09550584107637405)]
0§Und statt für einen handlungsfähigen Rechtsstaat zu sorgen, der die Sicherheit und Bürgerrechte gleichermaßen schützt, hat die Politik die Freiheit der Sicherheit auf einer erschrecken- den Art und Weise untergeordnet§politik und ideologie§0.3810179829597473§[('politik und ideologie', 0.3810179829597473), ('bildung', 0.21252600848674774), ('gesundheit', 0.12082470953464508)]
0§Wie es ist, darf es nicht bleiben§gesundheit§0.4139706492424011§[('gesundheit', 0.4139706492424011), ('bildung', 0.13071392476558685), ('politik und ideologie', 0.11365805566310883)]
0§Das wissen wir§wissenschaft§0.42254385352134705§[('wissenschaft', 0.42254385352134705), ('gesundheit', 0.19131453335285187), ('bildung', 0.1177949383854866)]
0§Die gute Nachricht: Es muss auch nicht so bleiben§gesundheit§0.4375399053096771§[('gesundheit', 0.4375399053096771), ('bildung', 0.10956935584545135), ('klima', 0.10722622275352478)]
0§Alles kann besser werden§gesundheit§0.27887120842933655§[('gesundheit', 0.27887120842933655), ('bildung', 0.16025975346565247), ('politik und ideologie', 0.10689602792263031)]
0§Nichts ist Schicksal§bildung§0.2966499626636505§[('bildung', 0.2966499626636505), ('gesundheit', 0.1569177806377411), ('none', 0.15140311419963837)]
0§Wir haben es selbst in der Hand§gesundheit§0.3001927435398102§[('gesundheit', 0.3001927435398102), ('bildung', 0.24964861571788788), ('wirtschaft', 0.10384056717157364)]
0§Das ist unsere Mission: Nie gab es mehr zu tun§none§0.3878439664840698§[('none', 0.3878439664840698), ('bildung', 0.17427486181259155), ('gesundheit', 0.12616804242134094)]
0§Das Programm der Freien Demokraten zur Bundestagswahl  Die Kraft zur umfassenden Modernisierung Deutschlands steckt in uns§politik und ideologie§0.6680915951728821§[('politik und ideologie', 0.6680915951728821), ('gesundheit', 0.10628657042980194), ('bildung', 0.09513919055461884)]
0§Sie steckt in den Menschen§bildung§0.47354787588119507§[('bildung', 0.47354787588119507), ('gesundheit', 0.12706954777240753), ('klima', 0.11480562388896942)]
0§Sie steckt in den Kräften der freien Wissenschaft und der Sozialen Markt- wirtschaft§wirtschaft§0.43612000346183777§[('wirtschaft', 0.43612000346183777), ('wissenschaft', 0.33352699875831604), ('bildung', 0.10056158900260925)]
0§Die schnelle Entwicklung von Impfstoffen gegen Covid-durch deutsche Forscherinnen und Forscher zeigt: Harte Arbeit, Entschlossenheit und Erfindergeist können Berge versetzen§wissenschaft§0.28829720616340637§[('wissenschaft', 0.28829720616340637), ('bildung', 0.235054150223732), ('gesundheit', 0.19608134031295776)]
0§Die Grundlage dafür ist Freiheit§gesundheit§0.5137613415718079§[('gesundheit', 0.5137613415718079), ('bildung', 0.1446230262517929), ('soziale ursachen', 0.0796341821551323)]
0§Nie war sie wich- tiger§none§0.5723667144775391§[('none', 0.5723667144775391), ('gesundheit', 0.10504129528999329), ('soziale ursachen', 0.10324769467115402)]
0§Holen wir uns unsere Freiheit mit einem Neustart der Politik zurück§politik und ideologie§0.46885573863983154§[('politik und ideologie', 0.46885573863983154), ('gesundheit', 0.2611125111579895), ('bildung', 0.1507926732301712)]
0§Werden wir das Land, das in uns steckt§bildung§0.46774032711982727§[('bildung', 0.46774032711982727), ('gesundheit', 0.1494099497795105), ('wirtschaft', 0.10806571692228317)]
0§Wie es ist, darf es nicht bleiben§gesundheit§0.4139706492424011§[('gesundheit', 0.4139706492424011), ('bildung', 0.13071392476558685), ('politik und ideologie', 0.11365805566310883)]
0§Veränderung ist nötig§gesundheit§0.2294214516878128§[('gesundheit', 0.2294214516878128), ('soziale ursachen', 0.19175991415977478), ('klima', 0.1434822380542755)]
0§Doch nicht jede Veränderung ist Fortschritt§none§0.24063542485237122§[('none', 0.24063542485237122), ('gesundheit', 0.2037513256072998), ('bildung', 0.15635453164577484)]
0§Alte Irrwege finden neuerdings immer mehr Zulauf§bildung§0.22786842286586761§[('bildung', 0.22786842286586761), ('gesundheit', 0.17566530406475067), ('politik und ideologie', 0.13924740254878998)]
0§Rechte versuchen, die Men- schen durch Merkmale wie Herkunft, Kultur, Religion, sexuelle Orientierung oder Hautfarbe zu spalten und gegeneinander in Stellung zu bringen§bildung§0.2723432183265686§[('bildung', 0.2723432183265686), ('klima', 0.19938042759895325), ('politik und ideologie', 0.1781914085149765)]
0§Linke versuchen, die Menschen durch Merkmale wie Erfolg, Einkommen oder Vermögen zu spalten und gegeneinander in Stellung zu bringen§politik und ideologie§0.49431005120277405§[('politik und ideologie', 0.49431005120277405), ('bildung', 0.1408190280199051), ('gesundheit', 0.07327030599117279)]
0§Beides sind Irr- wege§bildung§0.24190731346607208§[('bildung', 0.24190731346607208), ('none', 0.17511938512325287), ('gesundheit', 0.1435224413871765)]
0§Fortschritt geht nur nach vorne durch die Mitte§gesundheit§0.42045414447784424§[('gesundheit', 0.42045414447784424), ('bildung', 0.16506557166576385), ('wirtschaft', 0.11605926603078842)]
0§Das ist für uns die richtige Richtung§bildung§0.3734964430332184§[('bildung', 0.3734964430332184), ('gesundheit', 0.24464188516139984), ('politik und ideologie', 0.12972719967365265)]
0§Durch die Mitte nach vorne heißt für uns:  Werden wir fit für die Zukunft§bildung§0.3162379562854767§[('bildung', 0.3162379562854767), ('gesundheit', 0.30848053097724915), ('klima', 0.08015841245651245)]
0§Machen wir uns fit für den Auf- holwettbewerb: Entfesseln wir die Kräfte der Sozialen Markt- wirtschaft und weltbester Bildung für Wohlstand, Freiheit und Aufstiegschancen§wirtschaft§0.4184112548828125§[('wirtschaft', 0.4184112548828125), ('bildung', 0.21817153692245483), ('soziale ursachen', 0.14930573105812073)]
0§Nutzen wir die Agilität der Marktwirt- schaft, um schnell aus der Krise zu wachsen§gesundheit§0.36425352096557617§[('gesundheit', 0.36425352096557617), ('bildung', 0.1741696298122406), ('wirtschaft', 0.1572979986667633)]
0§Werden wir zum Vorreiter der Modernisierung§gesundheit§0.32114270329475403§[('gesundheit', 0.32114270329475403), ('bildung', 0.17162193357944489), ('soziale ursachen', 0.11397527903318405)]
0§Gründen wir Deutschland neu§bildung§0.3673902153968811§[('bildung', 0.3673902153968811), ('politik und ideologie', 0.14409086108207703), ('soziale ursachen', 0.13931509852409363)]
0§Nutzen wir die Chancen der Digitalisierung für uns§bildung§0.2881031036376953§[('bildung', 0.2881031036376953), ('gesundheit', 0.19279207289218903), ('soziale ursachen', 0.17527899146080017)]
0§Machen wir Modernisierung zum Pflichtprogramm: in der Verwaltung, im Gesundheitswesen, beim Arbeitsmarkt§gesundheit§0.41364529728889465§[('gesundheit', 0.41364529728889465), ('bildung', 0.14705070853233337), ('wirtschaft', 0.10829577594995499)]
0§Werden wir ein Land der Chancen§gesundheit§0.23275408148765564§[('gesundheit', 0.23275408148765564), ('bildung', 0.21076782047748566), ('politik und ideologie', 0.1160973459482193)]
0§Nutzen wir die Schub- kraft der Freiheit, der Sozialen Marktwirtschaft und der Modernisierung für die Bewältigung der großen Heraus- forderungen unserer Zeit: mehr Europa für mehr Freiheit und Menschenrechte weltweit§bildung§0.3185507655143738§[('bildung', 0.3185507655143738), ('gesundheit', 0.14724501967430115), ('wirtschaft', 0.13531211018562317)]
0§Mehr German Mut für mehr Klima- schutz und mehr nachhaltige Entwicklung§klima§0.46825793385505676§[('klima', 0.46825793385505676), ('bildung', 0.1402968168258667), ('gesundheit', 0.08067508041858673)]
0§Mehr Chancen zum Aufbau von Eigentum für mehr Zukunftssicherung§bildung§0.31954479217529297§[('bildung', 0.31954479217529297), ('gesundheit', 0.1395101100206375), ('wirtschaft', 0.13022156059741974)]
0§Wir Freie Demokraten setzen auf Freiheit und Verantwortung§bildung§0.3560716211795807§[('bildung', 0.3560716211795807), ('politik und ideologie', 0.16821207106113434), ('gesundheit', 0.1637074500322342)]
0§Wir setzen auf die Kraft der Sozialen Marktwirtschaft und wirtschaftliche Prosperität als Gegenmodell zum dirigisti- schen Staat, der sich im Klein-Klein verzettelt und sich als Erziehungsberechtigter der Bürgerinnen und Bürger aufführt§wirtschaft§0.45101600885391235§[('wirtschaft', 0.45101600885391235), ('bildung', 0.14471367001533508), ('soziale ursachen', 0.1321883499622345)]
0§Wir stehen für eine lebendige Kulturszene und die Entfaltung individueller Kreativität§bildung§0.38387081027030945§[('bildung', 0.38387081027030945), ('gesundheit', 0.2936260402202606), ('soziale ursachen', 0.07565092295408249)]
0§Wir wollen die Gesellschaft zusam- menhalten, ohne dass sich alle einem vorgegebenen Lebens- entwurf anpassen müssen§gesundheit§0.250009685754776§[('gesundheit', 0.250009685754776), ('bildung', 0.22253064811229706), ('politik und ideologie', 0.16952501237392426)]
