;text;topic
58;vollstreckung ausland;Politik und Ideologie
59;jugendstrafrecht;wirtschaft
60;bundespolizei stärken grenzschutz national aufgabe;Politik und Ideologie
61;reform polizei;soziale Ursachen
62;fahndungsmöglichkeit verbessern;Politik und Ideologie
63;organisierte kriminalität bekämpfen;wirtschaft
64;sicherheit bürger verbessern;Wissenschaft
65;strafjustiz verbessern;wirtschaft
66;islam;wirtschaft
67;migration asyl integration   human rational handeln deutschland schützen;soziale Ursachen
68;fluchtbewegung   jahrhundert mittels aufnahme migrant europa deutschland bewältigen;Politik und Ideologie
69;asylmissbrauch beenden;soziale Ursachen
70;unlösbar folgeproblem;Politik und Ideologie
71;asylparadies deutschland schliefsen;soziale Ursachen
72;abschiebung rückkehr;soziale Ursachen
73;leben retten sozial gerechtigkeit herstellen;soziale Ursachen
74;hilfe ort tod weg europa;Politik und Ideologie
75;zuwanderung national regeln;Gesundheit
76;qualifizierte zuwanderung;Politik und Ideologie
77;integration;soziale Ursachen
78;deutsch staatsangehörigkeit kostbar;Politik und Ideologie
79;inhaltsverzeichnis;soziale Ursachen
80;familienpolitik;wirtschaft
81;familie stärken fördern;wirtschaft
82;ursache demografisch katastrophe;wirtschaft
83;leistungsfähigkeit familie erhalten;Gesundheit
84;familie unterstützen;Politik und Ideologie
85;familienfreundliches deutschland;Politik und Ideologie
86;kinderin familie belassen kindesentzug ausnahmefall;Politik und Ideologie
87;willkommenskultur kind;wirtschaft
88;trennungsfolg mindern;Politik und Ideologie
89;verantwortungsvoll kinderbetreuung;Politik und Ideologie
90;geschlecht biologisch tatsache;soziale Ursachen
91;arbeit sozialpolitik;wirtschaft
92;zuwanderung eu-ausländer sozialsystem begrenzen;Politik und Ideologie
93;national gesetzgebungshoheit sozialrecht verteidigen;Politik und Ideologie
94;auszahlung sozialleistung ausländisch konto;Politik und Ideologie
95;lohndumping leiharbeit verhindern;wirtschaft
96;mindestlohn beibehalten;wirtschaft
97;arbeitsleben würdigen arbeitslosengeld i gerecht gestalten;wirtschaft
98;reform arbeitslosenversicherung;wirtschaft
99;aktivierend grundsicherung arbeit lohnen;wirtschaft
100;finanzkontrolle schwarzarbeit stärken;wirtschaft
101;arbeitsrecht reformieren vereinfachen;wirtschaft
102;gezielt mafßfnahmen wohnung obdachlosigkeit;Politik und Ideologie
103;arbeitsplatz fair entlohnung schwerbehindert mensch;wirtschaft
104;verbesserung mensch behinderung krankenhaus;Gesundheit
105;inhaltsverzeichnis   rentenkonzept afd;wirtschaft
106;rente zukunftsfest;wirtschaft
107;freiheit renteneintritt;wirtschaft
108;altersarmut verhindern;soziale Ursachen
109;abschaffung politikerpensione;wirtschaft
110;reduzierung beamtenstatus originär hoheitlich aufgabe;Politik und Ideologie
111;lastengerechtigkeit familie kinderlose herstellen;soziale Ursachen
112;ungerechtigkeit überleitung ostrente beseitigen;soziale Ursachen
113;doppelbesteuerung steuerfreibetrag anheben;Politik und Ideologie
114;umlagefinanziert rente stärken;wirtschaft
115;wehrdienst rentenpolitisch würdigen;wirtschaft
116;gesundheitspolitik;Politik und Ideologie
117;schluss unverhältnismäfßig corona-mafsnahme;Politik und Ideologie
118;impfen freiwillig bleiben;Gesundheit
119;einsetzung parlamentarisch corona-untersuchungsausschuss;Politik und Ideologie
120;krankenhaus klinik brauchen planungssicherheit   individuell auskömmlich finanzierung;wirtschaft
121;serviceorientiert ambulant versorgung beendigung   budgetierung;wirtschaft
122;medizinisch versorgung land wiederh sichern;Gesundheit
123;zugang heil hilfsmittel entbürokratisi;Politik und Ideologie
124;kurzzeitpflegeplatz krankenhaus finanzieren;Gesundheit
125;beendigung pflegenotstand;Politik und Ideologie
126;vorfahrt häuslich pflege;wirtschaft
127;vereinfachung gut übersichtlichkeit   sozial pflege gesetzlich krankenversicherung;wirtschaft
128;arzneimittelversorgung verlässlich;Politik und Ideologie
129;organspende sterbehilfe;Politik und Ideologie
130;cannabis iin medizin;Gesundheit
131;antibiotikaresistenzen vermeiden konsequent bekämpfen;wirtschaft
132;beruf heilpraktiker erhalten;soziale Ursachen
133;anforderung ausländisch personal gesundheitswesen;Politik und Ideologie
134;souveränität patient datum herstellen;wirtschaft
135;who grundlegend reformieren;soziale Ursachen
136;inhaltsverzeichnis;soziale Ursachen
137;bildung wissenschaft forschung;Bildung
138;mut leistung akademisierungswahn;wirtschaft
139;mehrgliedrige schulsystem erhalten;Wissenschaft
140;berufliche bildung stärken meister master;Bildung
141;digitalisierung selbstzweck;Politik und Ideologie
142;ideologisch motiviert inklusion förder sonderschule erhalten;soziale Ursachen
143;bildung migration;soziale Ursachen
144;neutralität schule wiederherstellen;Bildung
145;kompetenzorientierung entwerten bildung;Bildung
146;deutsches kulturgut unterricht vermitteln;Politik und Ideologie
147;bekenntnisgebunden islamunterricht deutsch schule;Bildung
148;sonderrecht muslim unser schule;Bildung
149;koranunterricht verfassungsfeindlich moscheevereine;Politik und Ideologie
150;konfuzius-institute öffentlich bildungseinrichtung;Wissenschaft
151;bologna scheitern diplom magister einführen;Wissenschaft
152;autonomie hochschule stärken freiheit forschung lehre bewahren;Bildung
153;geld gender studies gender-quoten;wirtschaft
154;kultur;wirtschaft
155;deutsch leitkultur multikulturalismus;Politik und Ideologie
156;deutsch sprache zentrum identität;Politik und Ideologie
157;kulturförderung;Bildung
158;brauchtum gedenken;Politik und Ideologie
159;medium;Politik und Ideologie
160;öffentlich-rechtlich rundfunk neu gestalten;Politik und Ideologie
161;cancel culture bekämpfen;wirtschaft
162;meinungsfreiheit tugendterror;Politik und Ideologie
163;bauen wohnen miete;Politik und Ideologie
164;wohneigentumsförderung;wirtschaft
165;wohngeld sozial wohnungsbau;Politik und Ideologie
166;inhaltsverzeichnis   klima energie technik digitalisierung;Klima
167;klimawandel positiv begegnen;Klima
168;kernforderung klimapolitik;Klima
169;technisch fortschritt begrüfsen;wirtschaft
170;energie green deal;Gesundheit
171;digitalisierung mensch dienen;Politik und Ideologie
172;datenschutz datensicherheit;Wissenschaft
173;infrastruktur grundlage ausbau derdigitalisierung;Politik und Ideologie
174;digitalisierung öffentlichen verwaltung;Politik und Ideologie
175;digital souveränität;wirtschaft
176;mobilität infrastruktur;Infrastruktur
177;verkehrspolitik;wirtschaft
178;motorisiert individualverkehr schützen;wirtschaft
179;bundesautobahne entlasten transitverkehr schiene wasserweg verlagern;Politik und Ideologie
180;sichererer sauber verlässlich schienenverkehr;Politik und Ideologie
181;flugverkehr wirtschaftsfaktor stärken;wirtschaft
182;deutsch automobilindustrie leitindustrie erhalten;Politik und Ideologie
183;stadt land gleichrangig entwickeln;Infrastruktur
184;entscheidung nah bürger bringen;Politik und Ideologie
185;landschaft regional identität;wirtschaft
186;infrastruktur;Infrastruktur
187;kommune stärken erfüllung pflichtaufgabe sicherstellen;Politik und Ideologie
188;ausbau digital infrastruktur beschleunigen;Politik und Ideologie
189;nord stream fertigstellen;wirtschaft
190;landwirtschaft umwelt verbraucherschutz;Klima
191;eu-agrarpolitik renationalisieren;wirtschaft
192;grün berufe wertschätzen;soziale Ursachen
193;familienbetrieb mittelpunkt stellen;Politik und Ideologie
194;düngung bedarf pflanze orientieren;Politik und Ideologie
195;praxiskonformen pflanzenschutz etablieren;Bildung
196;tierwohl haltung transport weiterentwickeln;soziale Ursachen
197;schutz heimisch ökosystem verbessern;Klima
198;zeitgemäfses wildtiermanagement umsetzen;wirtschaft
199;wald schützen bewahren;wirtschaft
200;gesund lebensmittel heimisch produktion fördern;wirtschaft
201;transparenz verbraucherschutz ausbauen;wirtschaft
202;wasserversorgung öffentlicher hand belassen;Politik und Ideologie
203;ausbau erneuerbar energie einschränken;Politik und Ideologie
204;kapitel demokratie rechtsstaat     halten unmittel bar demokratie unverzichtbar autoritär teilweise totalitär gebar regierungspolitiker einhalt gebieten;Politik und Ideologie
205;demokratie rechtsstaat   demokratie rechtsstaat   volk souverän   regierungspolitiker bund land flüchtling europa corona-politik prinzip deutsch staatlichkeit recht verfassung vielfach verletzen;Politik und Ideologie
206;volksvertreter etabliert partei grundgesetzlich garantiert parlament vorbehalt wichtig entscheidung staat widerstand nehmen lassen;Politik und Ideologie
207;bundesregierung pflicht vertrag brüchen selbstermächtigung eu-institution entgegenzutreten;Politik und Ideologie
208;einzeln recht verfassungswidrig mafsnahme mutig richter hundert urteil fall bringen;Politik und Ideologie
209;unser land politisch klasse herausgebilden vordringlich interesse status materiell wohlergehen gelten;Politik und Ideologie
210;setzen sozial kulturell zukunft unser volk stärke wirtschaft unser wohlstand auf spiel stellen multikulturalität diversität globalisierung vermeintlich gendergerechtigkeit;soziale Ursachen
211;halten schalthebel staatlich politisch bildung informationell medial einfluss bevölkerung hand;soziale Ursachen
212;halten unmittelbar demokratie unverzichtbar autoritär teilweise totalitär gebar regierungspolitiker einhalt gebieten;Politik und Ideologie
213;demokratie rechtsstaat;Politik und Ideologie
214;volksabstimmung schweizer modell   afd fordern volksentscheid schweizer modell deutschland;Politik und Ideologie
215;uneingeschränkt volkssouveränität fast bewährt optimiert gestaltung eidgenössisch bun desstaat fortwährend spitzenstellung wohlstand frieden freiheit gewährleisten;Politik und Ideologie
216;volksabstimmung flut oftmals unsinnig gesetzesvorlage eindammen parlament sorgfältig arbeit zwingen;Politik und Ideologie
217;unange messen beschluß abgeordneter sache riegel vorschieben;Politik und Ideologie
218;hierzu zahlen diät fraktion parteien finanzierung finanzierung parteinah stiftung;wirtschaft
219;wortbruch etabliert partei be züglich euro zentralisierung eu bedrohen zukunft unser land nachfolgend generation;Politik und Ideologie
220;fatal politik   beenden;wirtschaft
221;afd fordern volksentscheid;wirtschaft
222;oe;wirtschaft
223;schweizer modell einführung volksabstimmung deutschland;Politik und Ideologie
224;schweizer modell afd verhandelbarer;wirtschaft
225;einführung inhalt jeglicher koalitionsvereinbarung beinhalten yonsansiimmung   insbesondere folgend element schweizer modell afd verhandelbar inhalt   zustimmung volk grundgesetz jeglicher koalition   ändern bedeutsam völkerrechtlich nbarung vertrag schließen;Politik und Ideologie
226;volk   geben abgeordneter finger   schauen parlament beschlossen gesetz   ablehnen;Politik und Ideologie
227;schicksalsfragen nation entscheiden bürger weitsichtig friedfertig gemeinwohl- orientiert berufspolitiker;wirtschaft
228;demokratie rechtsstaat   volk möglichkeit erhalten gesetzesinitia tive einbringen per volksabstimmung be schliefse;Politik und Ideologie
229;hierbei jenseits art;wirtschaft
230;abs;wirtschaft
231;gg thematisch beschränkung geben;Politik und Ideologie
232;qualität entscheidung bürger sichern ausgeprägt auto- nomen prozess willensbildung information pflicht -rechte breit gesellschaftlich debatte;Politik und Ideologie
233;parlament möglichkeit erhalten volksabstimmung initiieren;Politik und Ideologie
234;einziger bundestag vertreten partei halten deutsch volk mündig schweizer;Politik und Ideologie
235;entgegen anderslautend behauptung entscheiden bürger schicksalsfragen nation weitsichtig friedfertig gemeinwohl- orientiert berufspolitiker;Politik und Ideologie
236;lehre wiedervereinigung ablehnung eu-verfassungsvertrag französisch niederländisch volk entscheidung vereinigt königreich europäisch union austreten;Politik und Ideologie
237;vertrauen regierung parlament währungskris migration islamisierung energiewende tragfähig lösun gen finden;Politik und Ideologie
238;volk souverän direkt mitbestimmung träger schicksalhaft entscheidung;Politik und Ideologie
239;demokratie rechtsstaat;Politik und Ideologie
240;gewaltenteilung gewährleisten   zahlreich gesetz politisch praxis   gewaltenteilung deutschland kernelement rechtsstaat gefahr bringen überbordend staatsgewalt führen ehemalig politiker richterstühl abgeordneter kanzler ministerpräsident minister insoweit kontrollieren parteipolitisch netzwerk verboten verfassungswidrig amterpatronag entstehen lang tolerieren;Politik und Ideologie
241;öffentlich amt ausschließlich eignung befähigung fachlich leistung vergeben art;Politik und Ideologie
242;abs;wirtschaft
243;gg;wirtschaft
244;entpolitisierung justiz   afd einflussnahme politisch partei   ernennung richter staatsanwalt beenden;soziale Ursachen
245;praxis ändern   staatsanwaltschaft weisungsgebunden einzelfall   justizminister berichtspflichtig;Klima
246;unabhän- gigkeit gewalt selbstver- waltung justiz ausbauen esin europäisch land üblich;Politik und Ideologie
247;  unterstützen modellvorschlag deutsch   richterbund justizwahlausschuss justizverwaltungsrat einrichten;Politik und Ideologie
248;insbesondere verfassungsgericht rechnungshöfe parteipolitisch einwirkung schützen;Politik und Ideologie
249;afd einfluss nahme politisch partei ernen nung richter staatsanwalt beenden;soziale Ursachen
250;insbesondere verfassungsgericht rechnungshöfe partei- politisch einwirkung schützen;Politik und Ideologie
251;afd fordern   mitarbeiter öffentlich verwaltung unabhängig loyal dienst verrichten;Politik und Ideologie
252;beamten richter stellen ausschliejs- lich qualifikation besetzen;Politik und Ideologie
253;demokratie rechtsstaat   verfassungsschutz reformieren   behördlich organisiert verfassungsschutz schnellstmöglich prüfstand stellen reformieren zukunft parteipolitisch instrument politisch gegner missbrauchen;Politik und Ideologie
254;trennung amt mandat kampf ämterpatronag   kanzler ministerpräsident minister abgeordneter;Politik und Ideologie
255;institution parlamentarisch staatssekretär abschaffen;Wissenschaft
256;gelten institut politisch beamter staatsverwaltung ministerialdirektor polizeipräsident;soziale Ursachen
257;mitarbeiter öffentlichen verwaltung unabhängig loyal dienst verrichten;Politik und Ideologie
258;beamten richterstelle aus schliefslich qualifikation besetzen;Politik und Ideologie
259;partei buchwirtschaft beenden;wirtschaft
260;grundsatz fachlich eignung beruflich qualifikation spitzenpersonal staat kabinett gelten;Politik und Ideologie
261;parteipolitische karriere fachlich defizit ausgleichen;wirtschaft
262;partei beschränken   partei politisch system mitwirken art;Wissenschaft
263;abs;wirtschaft
264;g beherrschen;wirtschaft
265;all- partei ausbeutung staat gefährden demokratie;Politik und Ideologie
266;politisch instrumentalisierung staat ursache verbreitet politikverdrossenheit;soziale Ursachen
267;demokratie rechtsstaat;Politik und Ideologie
268;loyalität abgeordneter bürger staat gelten parteivorstände;Infrastruktur
269;offiziell parteienfinanzierung höhe   mittlerweile jährlich ca;wirtschaft
270;million euro   partei zusätzlich finanzausstattung verschaffen;Politik und Ideologie
271;hervorzuheben finanzierung so-   genannt politisch stiftung alleine;wirtschaft
272;million euro mittel bundeshaushalt jahrlich ea les zuflieisen;Politik und Ideologie
273;ferner halten bundestagsabge   siaatlich parteienfi ordnen zustehend mitarbeiterpauschale nanzierung neu regeln euro monatlich überhöht;Politik und Ideologie
274;fall wissenschaftlich qualifiziert personal partei finanzierung soldat anstellen hinterfragen;wirtschaft
275;nn afd gesamt staatlich parteienfinanzierung   neu regeln deutlich begrenzen staatlich   finanzierung parteistiftung abschaffen;wirtschaft
276;parteienfinanzierung entgegen   derzeitig praxis unbeschränkt kontrolle   rechnungshöfe unterliegen;wirtschaft
277;unabdingbar   restriktiv korruption vermeidend neuordnung   spendenregelung;Politik und Ideologie
278;ferner partei   beteiligung unternehmen insbesondere medienunternehmen verbieten;wirtschaft
279;frei listenwahl frei mandat   politisch klasse deutschland wahlrecht wahlverfahren lauf zeitimmer ausnutzen angepassen einfluss volk bewerberauswahl minimieren;Wissenschaft
280;wähler derzeit starr wahlliste partei ankreuzen vorlegen;soziale Ursachen
281;ideal bürgerabgeordnet verwirklichen   fordern begren- zung mandatszeit abgeordneter amtszeit bundeskanzler   legislatur period;Politik und Ideologie
282;demokratie rechtsstaat   sicher listenplätz bestimmen -- -- parteivorstände zusammensetzung parlament;Politik und Ideologie
283;demokratischer gestaltung wahlsys tems afd wähler entscheidung personell zusammensetzung parlament zurück- geben;Politik und Ideologie
284;treten frei listenwahl möglichkeit kumulieren panaschieren strei chens kandidat;soziale Ursachen
285;verkleinerung parlament   mittlerweile abgeordneter leisten deutschland gröfst parlament welt;Politik und Ideologie
286;oktober cdu/csu spd durchge setzen wahlrechtsänderung entsprechen bundesverfassungsgericht angemahnt reform wahl bundestag;Politik und Ideologie
287;abgeordneter bund land dazugehörig verwaltungsapparat deutschland übergrofse parlament;Politik und Ideologie
288;streben bundestag hälfte verkleinern;Politik und Ideologie
289;berufspolitikertum mandat amtszeit begrenzen   ungebrochen tendenz berufspolitikertum monopolisierung vorschub leisten unübersehbar kluft wähler gewählt stetig vergröfsert;wirtschaft
290;vetternwirtschaft filz korruptionsfördernd struktur lobbyismus folge;soziale Ursachen
291;demokratie rechtsstaat;Politik und Ideologie
292;ideal bürgerabgeordnet verwirkli-   chen fordern begrenzung mandatszeit abgeordneter amtszeit bund kanzler legislaturperiode;Politik und Ideologie
293;abgeord   netenvergütung politisch idealismus rege lung hinsichtlich   motivation kandidatur nebentätigkeit   mandat;Gesundheit
294;parlamentarier deutlich verschärfen bestechung   bundestagsabgeordneter voll arbeitskraft parlamentarisch arbeit widmen;Politik und Ideologie
295;mandat bezahlt nebentätigkeit leiden;wirtschaft
296;überbordend lobbyismus brüssel berlin eindämmen;wirtschaft
297;regelung hinsichtlich nebentätigkeit parlamentarier deutlich verschärfen bestechung verhindern;Politik und Ideologie
298;unseren abgeordneter satzung entsprechend regel auferlegen;Politik und Ideologie
299;ferner setzen lobbyisten-gesetz konkret pflicht sanktion mandatsträger lobbyist vorbildlich regelung anderer demokratie entsprechen;Politik und Ideologie
300;freiheit verantwortung     alternative deutschland treten wiederherstellung bürgerlich selbstbestimmung zivilrechtsverkehr;Politik und Ideologie
301;lehnen sog;wirtschaft
302;antidiskriminierungs- gesetz;Politik und Ideologie
303;freiheit verantwortung   freiheit verantwortung   zentrum unser menschenbild stehen freiheit verantwortung;Politik und Ideologie
304;befähigung bereitschaft jeder einzelner freiheit verant- wortung leben gestalten angelegen heiten familie besorgen;Politik und Ideologie
305;gängelung indoktrination staat gesellschaftlich gruppe lehnen;Gesundheit
306;bürgerlich-freiheitlich rechtsordnung   prinzip gleichheit gesetz bürgerlich vertragsfreiheit gehören zivilisatorisch errungenschaft europa;Politik und Ideologie
307;weitaus grölst teil menschheitsgeschichte gehören unhinterfragt normalität mensch geburt stand ungleich rechtlich selbstbestimmung beschränken extrem rechtlosigkeit form leibeigenschaft sklaverei;Politik und Ideologie
308;christlich humanistisch kultur europäisch volk bringen vorgenannt prinzip hervor verwirklichen jahrhundertelang prozess;Politik und Ideologie
309;letzter jahrzehnt erschreckenderweise abkehr europäisch grundwerte verzeichnen;Politik und Ideologie
310;zivilisatorisch rückschritt gilt entgegenzutreten;wirtschaft
311;artikel grundgesetz heifst mann frau gleichberechtigt;Politik und Ideologie
312;staat fördern tatsächlich durchsetzung gleichberechtigung frau mann wirken beseitigung   freiheitund verantwortung;soziale Ursachen
313;bestehend nachteil;Wissenschaft
314;geschlecht benachteiligen bevorzugen;Wissenschaft
315;satz klar gut sinn;wirtschaft
316;staat aufgrund geschlecht benachteiligen individuell menschenrecht;Politik und Ideologie
317;mensch gleich weise;Klima
318;jurist vertreten falsch these artikel gg erlauben staat einzeln mensch stellvertretend jeweilig geschlecht bevorzugen benachteiligen   kollektiv vorgestellt geschlechter gleichzustellen;Wissenschaft
319;esin freiheitlich rechtsstaat nie- mals legitim ziel staatlich handeln willkür- lich abgegrenzt gesellschaftlich teilbereiche willkürlich festgesetzt geschlechter   quote erzwingen;Politik und Ideologie
320;genauso gesetz lich vorgeschrieben ungleichbehandlung verwirklichung gleichberechtigung;soziale Ursachen
321;gesetz vorschreiben verfassungswidrig ablehnen;Politik und Ideologie
322;afd deutsch bundestag aufhebung einsetzen;Politik und Ideologie
323;alternative deutschland treten bewahrung bzw;Politik und Ideologie
324;wiederherstellung bürgerlich selbst bestimmung zivilrechtsverkehr;Gesundheit
325;lehnen sog;wirtschaft
326;antidiskriminierungsgesetz;Politik und Ideologie
327;zentraler grundwert freiheitlich zivilrechtsordnung vertragsabschlussfreiheit freiheit jeder einzelnen entscheiden bürgerin rechtlich beziehung treten;Politik und Ideologie
328;alternative deutschland treten gleichheit gesetz;Politik und Ideologie
329;lehnen sogenannter   quotenregelung;Gesundheit
330;freiheit verantwortung   einfluss europäisch union fundamental prinzip privatautonomie deutsch gesetzgebung schritt schritt zerstören;Politik und Ideologie
331;freiheitlich grundordnung staatin handeln bürger pflicht gleichbehandlung unterwerfen bürger istin gestaltung privat rechtsverhältnis frei;Politik und Ideologie
332;aufhebung trennung staat gesellschaft beschädigen freiheitlich natur rechtsordnung öffnen tür tor letzter konsequenz totalitär herrschaftsordnung;Politik und Ideologie
333;afd deutsch bundestag entwicklung bewahrung freiheitlich privatrechtsordnung einsetzen;Politik und Ideologie
334;leistung quote freiheit diskriminierung   grundgesetzlich garantiert gleichberechtigung mann frau parteienkartell propagiert gleichstellung gleichmacherei;soziale Ursachen
335;afd lehntjed art quote;wirtschaft
336;leistungs- feindlich ungerecht stellen verfassungswidrig diskriminierung der dar nichtin genuss quote;Politik und Ideologie
337;schutz persönlich freiheit digital übergriffen   eingriff privatsphäre monopolistisch datengetrieben grofskonzern behörde geheim- dienst überschreiten deutlich grundge-   freiheitund verantwortung;Politik und Ideologie
338;setzlich garantiert freiheitsrecht;Politik und Ideologie
339;gefährdung freiheit entgegenwirken bürger informationell selbstbestimmung zurückgeben verfassungsrechtlich stärken;Politik und Ideologie
340;hinweisgeber whistleblower schützen   totalitär tendenz deutschland demokratiegefährdend mafs annehmen;Politik und Ideologie
341;verfassungswidrig grenzöffnung massiv grundrechtseinschränkung name corona-krise bisherig höhepunkt täglich bruch verfassung regierungspolitiker;Politik und Ideologie
342;mainstream-medien elementar aufgabe gewalt aufgeben kritisch-objektiv berichterstattung regierung lobhudelei tauschen;Politik und Ideologie
343;bleiben oftmals alter nativ medium whistleblower aufdeckung offenlegung regierungsamtlichen unrecht;Politik und Ideologie
344;grund anonym hinweisgeber aufdeckung korruption machtmissbrauch straftat politik verwaltung wirtschaft zivilgesellschaftlich organisation unverzichtbar;soziale Ursachen
345;eu-richtlinie hinweisgeberschutz unzureichend;Politik und Ideologie
346;fordern einheitlich deutsch bürger gesetz verständlich klar regel informationelle;Politik und Ideologie
347;selbstbestimmung entsprechend anpassung beamtenrecht;Politik und Ideologie
348;wichtig uriekgeben bestandteil gesetz vorge verfassungsrechtlich schriebene intern whistleblower-kanal altemati- ve extern meldemöglichkeite unabhängig selbstständig behörde vollumfänglich schutz hinweisgeber repressalie inklusive   gesetzlich garantiert vertraulichkeit;Politik und Ideologie
349;kapitel   eu europa     afd stehen freiheit selbstbe   stimmung europäi-   sch nation;Politik und Ideologie
350;souve- ränen demokratisch   nationalstaat erhalten;Gesundheit
351;eu europa   eu europa   europa vaterländ   afd stehen freiheit selbstbestimmung europäisch nation;Politik und Ideologie
352;bekennen europa vaterländ gemeinschaft souverän staat aufall gebiet zusammenarbeiten gemeinsam gestalten;Politik und Ideologie
353;gehören insbesondere frei handel fair wettbewerb;wirtschaft
354;staatsähnlich europäisch union etabliert partei anstreben halten sinn prosperierend friedlich europa kontraproduktiv;Politik und Ideologie
355;selbstverantwortlich lebendig demokratie gestaltet nationalstaat übernational einrichtung ersetzbar;Politik und Ideologie
356;gruppe benachbart staat völkerrechtlich basis konstruktiv friedlich kooperieren;Klima
357;versuch derzeit staat mitjeweil sprache kultur historisch erfahrung ausgestaltet gesamtstaat bilden scheitern;Politik und Ideologie
358;gebilde verfügen weder staatsvolk erforderlich mindestmaf kulturell identität notwendig voraussetzun gen gelingend staat;Politik und Ideologie
359;souverän demokratisch nationalstaat erhalten;Gesundheit
360;volkssouveränität leben mutter herzstück demokratie;Gesundheit
361;eu europa   zurückführung europäisch union staatenbund souverän staat   union europäisch staat zukunft gelingen schnell drehend rad entdemokratisierung zentralisierung speiche greifen bevor heutig eu pervertierung gründung idee zugrunde;Politik und Ideologie
362;wirtschafts- geschichtlich ungewöhnlich idee einheits- währung wirtschaftlich völlig unterschiedlich entwickelt staat scheitern;wirtschaft
363;handeln politisch wunschvorstellung   ökonomisch gesetz nichtin einklang bringenist;Politik und Ideologie
364;einführung sogenannter corona wiederaufbaupaktes transferunion     halten austritt deutschland europäisch union   dimension heben;Politik und Ideologie
365;transferunion stehen gründung nichtnur widerspruch europäisch europäisch   vertrag versprechen deutsch politiker   wirtschaft inter- essengemeinschaft   abstieg europäisch notwendig;Politik und Ideologie
366;volkswirtschaft konflikt staat folge;wirtschaft
367;vergleichbar versagen zeigen eu jahrelang anhaltend migrationskrise;soziale Ursachen
368;krise management corona-krise verheerend;wirtschaft
369;fehlentwicklung klima energiepolitik treiben eu unvorstellbar kostspielig gesetz subventionspakete voran;Gesundheit
370;langfristig unheil verschuldung umverteilungs-eskapade deutsch steuerzahler treffen;wirtschaft
371;eu europa   vehemenz europäisch union transformation planwirtschaftlich superstaat   letzter vorantreiben erkenntnis bringen grundlegend reformansätz eu verwirklichen lassen;Politik und Ideologie
372;halten austritt deutschland europäisch union gründung europäisch wirtschaft interessengemeinschaft notwendig;Politik und Ideologie
