text;topic;sentiment_label;score;sentence;hate_label;hate_score;sequence;labels;scores;Top 3
gesellschaft arbeiter*inn angestellter klimaschutz leis- ten;Klima;neutral;0.6394838690757751;Wir wollen eine Gesellschaft, in der sich Arbeiter*innen und Angestellte den Klimaschutz auch leis- ten können;neutral;0.6653539538383484;Wir wollen eine Gesellschaft, in der sich Arbeiter*innen und Angestellte den Klimaschutz auch leis- ten können;bildung;0.2657400667667389;
häufig lagern industrieland klima umweltschutz- maßnahme waldschutz initiative global süden entziehen verantwortung;Klima;neutral;0.7601003646850586;Immer häufiger lagern Industrieländer Klima- und Umweltschutz- maßnahmen, zum Beispiel Waldschutz- Initiativen, in den Globalen Süden aus und entziehen sich so ihrer Verantwortung;neutral;0.9680691957473756;Immer häufiger lagern Industrieländer Klima- und Umweltschutz- maßnahmen, zum Beispiel Waldschutz- Initiativen, in den Globalen Süden aus und entziehen sich so ihrer Verantwortung;soziale Ursachen;0.361725389957428;
generell befristung gewerbemietverträg abschaf- fen;Politik und Ideologie;neutral;0.6884459257125854;Die generelle Befristung von Gewerbemietverträgen wollen wir abschaf- fen;neutral;0.9912789463996888;Die generelle Befristung von Gewerbemietverträgen wollen wir abschaf- fen;wissenscahft;0.3224657773971557;
ohnefrieden   frieden abrüstung;Politik und Ideologie;neutral;0.6302488446235657;OhneFrieden ist alles nichts:  Für Frieden und Abrüstung;neutral;0.9844405651092528;OhneFrieden ist alles nichts:  Für Frieden und Abrüstung;wirtschaft;0.9520775079727172;
betreuung sozial zentrum finden tariflich bezahlt arbeitsplatz;Politik und Ideologie;neutral;0.888857364654541;Die Betreuung der sozialen Zentren findet über tariflich bezahlte Arbeitsplätze statt;neutral;0.9899373054504396;Die Betreuung der sozialen Zentren findet über tariflich bezahlte Arbeitsplätze statt;gesundheit;0.4168856143951416;
forschungsprogramm zukünftig transparent partizipativ prozess entwickeln expertenwissen allgemeinheit einbinden;Wissenschaft;neutral;0.781650960445404;Forschungsprogramme sollen zukünftig in einem transparenten und partizipativen Prozess entwickelt werden, der neben Expertenwissen die Allgemeinheit einbindet;neutral;0.9852280616760254;Forschungsprogramme sollen zukünftig in einem transparenten und partizipativen Prozess entwickelt werden, der neben Expertenwissen die Allgemeinheit einbindet;gesundheit;0.3069263994693756;
pfandsystem energiesparlampe einwegbecher mobil telefon fernseher elektro gerät einführen batterie sammelquote erhöhen verwer tung verbessern;Wissenschaft;neutral;0.8272521495819092;Wir wollen ein Pfandsystem für Energiesparlampen, Einwegbecher, Mobil- telefone, Fernseher und weitere Elektro- geräte einführen und Batterien, um die Sammelquote zu erhöhen und die Verwer- tung zu verbessern;neutral;0.9873148202896118;Wir wollen ein Pfandsystem für Energiesparlampen, Einwegbecher, Mobil- telefone, Fernseher und weitere Elektro- geräte einführen und Batterien, um die Sammelquote zu erhöhen und die Verwer- tung zu verbessern;bildung;0.2245550900697708;
digitalisierung nutzen entscheiden;Wissenschaft;neutral;0.883508563041687;Wem die Digitalisierung nutzt, wird jetzt entschieden;neutral;0.989680826663971;Wem die Digitalisierung nutzt, wird jetzt entschieden;gesundheit;0.4820437431335449;
rechnen krise schutz hilfe erhalten;soziale Ursachen;neutral;0.6790727376937866;Wir wollen, dass alle damit rechnen können, in Krisen Schutz und Hilfe zu erhalten;neutral;0.9891397356987;Wir wollen, dass alle damit rechnen können, in Krisen Schutz und Hilfe zu erhalten;gesundheit;0.2805372476577759;
menschenrechtskonform bundes- teilhabegesetz kostenvorbe halten einkommen vermögensan rechnung zumutbarkeitsprüfung vorsehen tatsächlich chance gerechtigkeit schaffen;soziale Ursachen;neutral;0.7430213093757629;Ein menschenrechtskonformes Bundes- teilhabegesetz, das keine Kostenvorbe- halte, Einkommens- sowie Vermögensan- rechnungen und Zumutbarkeitsprüfungen vorsieht und so tatsächliche Chancen- gerechtigkeit schafft;neutral;0.9900707602500916;Ein menschenrechtskonformes Bundes- teilhabegesetz, das keine Kostenvorbe- halte, Einkommens- sowie Vermögensan- rechnungen und Zumutbarkeitsprüfungen vorsieht und so tatsächliche Chancen- gerechtigkeit schafft;bildung ;0.3095199763774872;
  überall welt kriegser   klärung einsetzen usa;soziale Ursachen;neutral;0.7371234893798828;Und sie  können überall auf der Welt ohne Kriegser-  klärung, eingesetzt werden, so wie die USA es seit Jahren machen;neutral;0.9812093377113342;Und sie  können überall auf der Welt ohne Kriegser-  klärung, eingesetzt werden, so wie die USA es seit Jahren machen;gesundheit;0.341409832239151;
bleiben;wirtschaft;neutral;0.6177866458892822;Dabei bleibt es;neutral;0.9886130094528198;Dabei bleibt es;bildung;0.4810870587825775;
weiterbildungsangebot arbeit agentur jobcenter ausbauen;wirtschaft;neutral;0.8274826407432556;Weiterbildungsangebote der Arbeits- agentur und Jobcenter müssen ausgebaut werden;neutral;0.9890505075454712;Weiterbildungsangebote der Arbeits- agentur und Jobcenter müssen ausgebaut werden;bildung ;0.5135669112205505;
niedriglohnsektor schaffen sodass arbeit leben vgl;wirtschaft;neutral;0.6869648098945618;Den Niedriglohnsektor schaffen wir ab, sodass alle von ihrer Arbeit leben können (vgl;neutral;0.9876893758773804;Den Niedriglohnsektor schaffen wir ab, sodass alle von ihrer Arbeit leben können (vgl;gesundheit;0.295163094997406;
