text,topic,label,score,sentence,hate_label,hate_score,sequence,labels,scores,Top 3
freiheitlich grundordnung staatin handeln bürger pflicht gleichbehandlung unterwerfen bürger istin gestaltung privat rechtsverhältnis frei,Politik und Ideologie,neutral,0.6609726548194885,"In einer freiheitlichen Grundordnung ist der Staatin seinem Handeln gegenüber dem Bürger der Pflicht zur Gleichbehandlung unterworfen, der Bürger selbst jedoch istin der Gestaltung seiner privaten Rechtsverhältnisse frei",neutral,0.9633586406707764,"In einer freiheitlichen Grundordnung ist der Staatin seinem Handeln gegenüber dem Bürger der Pflicht zur Gleichbehandlung unterworfen, der Bürger selbst jedoch istin der Gestaltung seiner privaten Rechtsverhältnisse frei",bildung,0.3775072395801544,"[('bildung', 0.3775072395801544), ('gesundheit', 0.176375612616539), ('wissenschaft', 0.11125746369361877)]"
partei beschränken   partei politisch system mitwirken art,Wissenschaft,neutral,0.7553414106369019,Macht der Parteien beschränken  Die Parteien sollen am politischen System mitwirken (Art,neutral,0.9811681509017944,Macht der Parteien beschränken  Die Parteien sollen am politischen System mitwirken (Art,politik und ideologie,0.5512018799781799,"[('politik und ideologie', 0.5512018799781799), ('bildung', 0.1873394101858139), ('gesundheit', 0.14343003928661346)]"
sicherheit bürger verbessern,Wissenschaft,neutral,0.5708634853363037,Sicherheit der Bürger verbessern,neutral,0.988783061504364,Sicherheit der Bürger verbessern,gesundheit,0.3800924718379974,"[('gesundheit', 0.38009247183799744), ('bildung', 0.16385941207408905), ('wirtschaft', 0.09604980796575546)]"
bundesamt sicherheit informations technik bsi behörde digital verbraucherschutz ausbauen,Wissenschaft,neutral,0.8738865852355957,Das Bundesamt für Sicherheit in der Informations technik (BSI) soll zu einer Behörde des digitalen Verbraucherschutzes ausgebaut werden,neutral,0.985630452632904,Das Bundesamt für Sicherheit in der Informations technik (BSI) soll zu einer Behörde des digitalen Verbraucherschutzes ausgebaut werden,bildung,0.4779936075210571,"[('bildung', 0.47799360752105713), ('gesundheit', 0.1590757519006729), ('klima', 0.0661887675523758)]"
verhinderung abschiebung straftatbestand erklären,soziale Ursachen,neutral,0.6122834086418152,Verhinderung von Abschiebungen zu Straftatbestand erklären,neutral,0.9559839367866516,Verhinderung von Abschiebungen zu Straftatbestand erklären,bildung,0.3506786227226257,"[('bildung', 0.35067862272262573), ('gesundheit', 0.32091861963272095), ('klima', 0.07201764732599258)]"
vereint nation reformieren verändert gewichtung welt rech nung tragen,soziale Ursachen,neutral,0.7353603839874268,"Auch die Vereinten Nationen sind so zu reformieren, dass den veränderten Gewichtungen in der Welt Rech- nung getragen wird",neutral,0.9553297162055968,"Auch die Vereinten Nationen sind so zu reformieren, dass den veränderten Gewichtungen in der Welt Rech- nung getragen wird",bildung,0.3594559729099273,"[('bildung', 0.35945597290992737), ('gesundheit', 0.1550801396369934), ('politik und ideologie', 0.15149550139904022)]"
jobcenter personenstandsregister standesamt zugänglich missbräuchlich inanspruchnahme hartz iv zweit drittfrau verhindern,soziale Ursachen,neutral,0.7559500336647034,"Den Jobcentern sind die Personenstandsregister der Standesämter zugänglich zu machen, um missbräuchliche Inanspruchnahme von Hartz IV durch Zweit- oder Drittfrauen zu verhindern",neutral,0.9838953614234924,"Den Jobcentern sind die Personenstandsregister der Standesämter zugänglich zu machen, um missbräuchliche Inanspruchnahme von Hartz IV durch Zweit- oder Drittfrauen zu verhindern",gesundheit,0.3181616961956024,"[('gesundheit', 0.3181616961956024), ('bildung', 0.2583974301815033), ('soziale ursachen', 0.11733138561248779)]"
setzen aufkauf fläche landwirtschafts- fremd investor erschweren,wirtschaft,neutral,0.6331537961959839,"Wir setzen uns dafür ein, den Aufkauf von Flächen durch landwirtschafts- fremde Investoren zu erschweren",neutral,0.9766659140586852,"Wir setzen uns dafür ein, den Aufkauf von Flächen durch landwirtschafts- fremde Investoren zu erschweren",wirtschaft,0.4224464297294616,"[('wirtschaft', 0.42244642972946167), ('bildung', 0.20366698503494263), ('gesundheit', 0.1902877688407898)]"
zukünftig instrument kostenersparnis kostenträger leistungsgerechtigkeit patient behandlungsqualität,wirtschaft,neutral,0.7052695155143738,"Er wird zukünftig nicht nur ein Instrument der Kostenersparnis für Kostenträger sein, sondern auch ein Mittel zur Leistungsgerechtigkeit für die Patienten und für die Behandlungsqualität",neutral,0.9555479288101196,"Er wird zukünftig nicht nur ein Instrument der Kostenersparnis für Kostenträger sein, sondern auch ein Mittel zur Leistungsgerechtigkeit für die Patienten und für die Behandlungsqualität",bildung,0.4003377258777618,"[('bildung', 0.40033772587776184), ('gesundheit', 0.12122448533773422), ('infrastruktur', 0.11045856028795242)]"
biologisch konventionell   produktion entscheidend qualität produkt,wirtschaft,neutral,0.8066950440406799,"Dabei kommt es uns nicht darauf an, ob sie aus biologischer oder konventioneller  Produktion kommen, sondern entscheidend ist die Qualität der Produkte",neutral,0.9873487949371338,"Dabei kommt es uns nicht darauf an, ob sie aus biologischer oder konventioneller  Produktion kommen, sondern entscheidend ist die Qualität der Produkte",gesundheit,0.2627549767494201,"[('gesundheit', 0.26275497674942017), ('bildung', 0.19803538918495178), ('wissenschaft', 0.10283082723617554)]"
